roi_id,peak_number,frame_index,time_s,dff_value,prominence,left_base,right_base,x0,y0,w,h,x1,y1
1,61,2275,113.75,0.042279377579689026,0.04203179071143773,2106,2357,516,131,62,51,578,182
1,62,2310,115.5,0.029262712225317955,0.032658356110649586,2305,2357,516,131,62,51,578,182
1,63,2386,119.3,0.07985600084066391,0.041967346891014376,2357,2396,516,131,62,51,578,182
1,64,2431,121.55,0.12244829535484314,0.10405897268855947,2357,2512,516,131,62,51,578,182
1,65,2552,127.6,0.17931295931339264,0.17868241815230093,1828,2608,516,131,62,51,578,182
1,66,2589,129.45,0.16908001899719238,0.1486143836786485,2566,2608,516,131,62,51,578,182
1,67,2624,131.2,0.0908454954624176,0.06902094412341633,2608,2638,516,131,62,51,578,182
1,68,2662,133.1,0.10087881237268448,0.10033986533906186,2608,3299,516,131,62,51,578,182
1,69,2685,134.25,0.04860435798764229,0.034135254046626,2674,2699,516,131,62,51,578,182
1,70,2746,137.3,0.05950501188635826,0.06591417907104147,2699,2793,516,131,62,51,578,182
1,71,2767,138.35,0.05831802263855934,0.04987921605918862,2763,2793,516,131,62,51,578,182
1,72,2785,139.25,0.0349322184920311,0.03716786666144878,2775,2793,516,131,62,51,578,182
1,73,2799,139.95,0.05617648735642433,0.07183840168535569,2793,2829,516,131,62,51,578,182
1,74,2815,140.75,0.039125096052885056,0.03511323960604229,2806,2829,516,131,62,51,578,182
1,75,2837,141.85,0.0259665846824646,0.038106387176880106,2829,2860,516,131,62,51,578,182
1,76,2871,143.55,0.04183162748813629,0.03158761866159757,2860,2897,516,131,62,51,578,182
1,77,2911,145.55,0.05865130573511124,0.07021404680523294,2829,3190,516,131,62,51,578,182
1,78,2953,147.65,0.03866224363446236,0.04359571618153498,2933,3008,516,131,62,51,578,182
1,79,2981,149.05,0.04107678681612015,0.036993914055787044,2972,3008,516,131,62,51,578,182
1,80,3063,153.15,0.06206394359469414,0.04823862659752717,3008,3190,516,131,62,51,578,182
1,81,3180,159.0,0.05280999466776848,0.04097499532691509,3164,3190,516,131,62,51,578,182
1,82,3237,161.85,0.07821033149957657,0.08022368746416872,2829,3299,516,131,62,51,578,182
1,83,3294,164.7,0.020427508279681206,0.04127882898317364,3283,3299,516,131,62,51,578,182
1,84,3304,165.2,0.05038071796298027,0.04360356935014789,3299,3309,516,131,62,51,578,182
1,85,3315,165.75,0.05111180990934372,0.03515950111587152,3299,3325,516,131,62,51,578,182
1,86,3338,166.9,0.08226530253887177,0.08930140935984594,3299,3841,516,131,62,51,578,182
1,87,3366,168.3,0.07409389317035675,0.03911063535376698,3356,3841,516,131,62,51,578,182
1,88,3424,171.2,0.031879525631666183,0.04617524227455642,3389,3435,516,131,62,51,578,182
1,89,3482,174.1,0.054614417254924774,0.05412586295781176,3389,3565,516,131,62,51,578,182
1,90,3535,176.75,0.05078601837158203,0.03800659092535581,3526,3565,516,131,62,51,578,182
1,91,3595,179.75,0.030259406194090843,0.03699066548031407,3565,3602,516,131,62,51,578,182
1,92,3632,181.6,0.04366658627986908,0.058144020660047084,3389,3823,516,131,62,51,578,182
1,93,3775,188.75,0.04523491859436035,0.05204779207525491,3740,3823,516,131,62,51,578,182
1,94,3829,191.45,0.038295142352581024,0.07093640094925442,3389,3841,516,131,62,51,578,182
1,95,3876,193.8,0.07297271490097046,0.08561349014176038,3841,3962,516,131,62,51,578,182
1,96,3901,195.05,0.06753461062908173,0.08075288795449674,3890,3962,516,131,62,51,578,182
1,97,3982,199.1,0.06713319569826126,0.0622820442328093,3962,3999,516,131,62,51,578,182
2,1,17,0.85,0.11318008601665497,0.09728730575096632,5,188,341,298,34,32,375,330
2,2,74,3.7,0.09968697279691696,0.08420781239213103,38,188,341,298,34,32,375,330
2,3,164,8.2,0.052374694496393204,0.0624681949605289,102,188,341,298,34,32,375,330
