time_s,ROI_raw_1,ROI_raw_2,ROI_raw_3,ROI_raw_4,ROI_raw_5,ROI_raw_6,ROI_raw_7,ROI_raw_8,ROI_raw_9,ROI_raw_10
0.65,28264.12109375,12253.7578125,4990.96533203125,9217.326171875,12328.1064453125,7045.90478515625,3824.94775390625,5547.43212890625,3838.89697265625,5037.3564453125
0.7,27714.615234375,12127.58984375,5016.955078125,9268.189453125,12376.15234375,6853.02294921875,3805.35107421875,5480.82470703125,3853.93798828125,4811.11865234375
0.75,29130.537109375,12534.7509765625,5224.0390625,9586.689453125,12578.7998046875,7103.5361328125,4037.71337890625,5627.54638671875,4034.992431640625,5093.2998046875
0.8,29336.439453125,12795.6337890625,5187.21435546875,9530.9814453125,12801.0126953125,7185.01953125,3997.736572265625,5681.6083984375,3884.553955078125,5124.50244140625
0.85,29157.55078125,12846.0546875,5323.40380859375,9733.7373046875,12730.6357421875,7187.53857421875,4058.177734375,5760.63671875,4069.170166015625,5153.3974609375
0.9,28912.4453125,12650.646484375,5146.6552734375,9676.0927734375,12583.3193359375,7200.65087890625,3952.30615234375,5709.48681640625,3992.17138671875,5070.197265625
0.95,29355.76953125,12757.353515625,5140.84130859375,9631.8837890625,12725.7939453125,7320.166015625,4016.577880859375,5776.3271484375,3992.14404296875,5216.5361328125
1.0,29319.369140625,12866.0380859375,5285.98046875,9801.6123046875,12664.240234375,7296.033203125,4045.70263671875,5813.73095703125,4065.494384765625,5293.34619140625
1.05,28910.1484375,12638.755859375,5193.6318359375,9637.3310546875,12466.0234375,7178.3828125,4002.3994140625,5593.9384765625,4016.826171875,5151.49365234375
1.1,28616.6171875,12522.037109375,5066.94677734375,9454.0498046875,12447.6279296875,7049.52197265625,3952.793212890625,5536.115234375,3955.891845703125,5034.8251953125
1.15,28188.943359375,12618.486328125,5041.4560546875,9418.9697265625,12350.8486328125,6995.9306640625,3910.80224609375,5483.3828125,3941.4658203125,4977.0576171875
1.2,28302.552734375,12600.9638671875,5091.43994140625,9537.724609375,12279.275390625,7027.02294921875,3934.3642578125,5490.26611328125,3960.783935546875,4955.84619140625
1.25,28244.96484375,12518.4453125,5032.33447265625,9457.7099609375,12399.6044921875,7003.07275390625,3865.456298828125,5513.3603515625,3919.759033203125,5048.61865234375
1.3,27972.888671875,12378.6025390625,5032.96875,9361.0341796875,12128.8291015625,6960.9189453125,3874.137451171875,5455.24072265625,3911.948974609375,5016.89013671875
1.35,27589.328125,12149.8603515625,4906.66650390625,9228.1884765625,12166.5712890625,6782.8251953125,3831.34716796875,5418.8046875,3779.592529296875,4939.86767578125
1.4,27409.91796875,11977.576171875,4869.58544921875,9146.2197265625,11945.0244140625,6756.71630859375,3783.887939453125,5345.62353515625,3805.18017578125,4991.728515625
1.45,27507.466796875,12064.3046875,4960.8203125,9186.1123046875,12042.7392578125,6744.48095703125,3851.434814453125,5425.0546875,3858.069580078125,4908.3798828125
1.5,27184.65234375,11884.744140625,4918.99755859375,9058.0390625,12034.7255859375,6710.96630859375,3756.482666015625,5386.71240234375,3840.862060546875,4920.58740234375
1.55,27341.41015625,11935.9423828125,4860.837890625,8936.83203125,11907.287109375,6745.783203125,3731.959716796875,5382.4443359375,3792.60986328125,4965.64990234375
1.6,27270.2265625,11972.75390625,4932.49853515625,9149.1015625,11949.0546875,6775.27294921875,3803.847412109375,5407.15087890625,3859.611083984375,4902.68017578125
1.65,27347.921875,12057.3271484375,4904.23046875,9053.1708984375,12034.1728515625,6745.9931640625,3788.05419921875,5387.107421875,3809.273193359375,4923.87744140625
1.7,26972.47265625,11920.951171875,4788.72705078125,8951.6240234375,11844.548828125,6754.205078125,3701.621337890625,5321.693359375,3751.175048828125,4901.330078125
1.75,26893.53515625,11958.9150390625,4854.60400390625,8998.4951171875,11855.556640625,6679.81103515625,3749.391357421875,5239.32373046875,3754.642333984375,4893.71630859375
1.8,26693.693359375,11685.8515625,4856.16064453125,8977.7265625,11796.22265625,6719.53076171875,3729.48193359375,5220.1455078125,3768.47216796875,4825.7685546875
1.85,26688.4765625,11522.478515625,4767.47216796875,8889.16796875,11687.775390625,6678.0478515625,3691.06298828125,5274.0244140625,3675.9404296875,4758.74267578125
1.9,26725.533203125,11651.9365234375,4866.3369140625,8980.572265625,11722.8037109375,6607.40185546875,3709.979736328125,5278.111328125,3767.916748046875,4722.5048828125
1.95,26514.26171875,11564.546875,4768.64111328125,8827.67578125,11659.8671875,6532.19384765625,3736.102783203125,5262.40869140625,3744.91796875,4677.9375
2.0,27154.287109375,11742.736328125,4930.0693359375,8970.59375,11808.7470703125,6760.27880859375,3764.443603515625,5443.55859375,3789.701904296875,4791.85107421875
2.05,27143.615234375,11954.669921875,4983.42236328125,9094.513671875,11961.1669921875,6748.591796875,3824.282958984375,5432.89990234375,3767.146484375,4791.9111328125
2.1,27131.251953125,11943.8046875,4969.1240234375,9046.1767578125,12001.9765625,6779.9111328125,3804.693115234375,5417.1611328125,3835.607421875,4811.3662109375
2.15,27273.650390625,11874.01953125,4914.98291015625,9112.2548828125,12114.7646484375,6867.6982421875,3801.725830078125,5439.111328125,3822.73291015625,4935.06396484375
2.2,27022.658203125,11817.583984375,4922.5673828125,9006.7197265625,12062.2841796875,6745.72216796875,3783.3212890625,5334.13671875,3775.7490234375,4873.77880859375
2.25,27013.927734375,11806.41796875,4924.13525390625,9043.23046875,12087.81640625,6640.35009765625,3793.612548828125,5369.65087890625,3777.4931640625,4767.22998046875
2.3,27194.33984375,11912.9677734375,4935.6689453125,9032.865234375,12165.599609375,6751.14013671875,3773.52294921875,5437.6455078125,3795.777587890625,4903.26513671875
2.35,27010.0625,11738.86328125,4916.62158203125,8954.1337890625,12179.787109375,6677.5078125,3787.150634765625,5353.08203125,3772.26220703125,4855.083984375
2.4,27038.0546875,11858.4794921875,4914.662109375,9025.96484375,12014.29296875,6676.1015625,3833.7529296875,5332.70458984375,3793.772705078125,4773.66015625
2.45,27589.900390625,12032.4638671875,5001.70263671875,9167.650390625,12331.4775390625,6906.2568359375,3855.19921875,5482.25927734375,3835.322998046875,4985.77392578125
2.5,27446.6640625,12084.8173828125,4980.42578125,9209.8271484375,12178.7744140625,6866.83544921875,3825.658447265625,5566.390625,3825.6162109375,5003.37890625
2.55,27235.44140625,12064.2734375,4909.82080078125,9202.4287109375,12202.955078125,6756.896484375,3795.487060546875,5436.2509765625,3813.96142578125,4915.048828125
2.6,26930.595703125,11846.146484375,4864.025390625,9009.95703125,12023.87890625,6665.66748046875,3748.1845703125,5450.01123046875,3740.786376953125,4846.697265625
2.65,27182.998046875,12131.8359375,4918.19091796875,9178.4921875,12128.4306640625,6719.11669921875,3821.610595703125,5548.82080078125,3797.580078125,4910.919921875
2.7,27345.611328125,12080.4599609375,5029.37939453125,9176.9658203125,12173.232421875,6784.95556640625,3852.289794921875,5629.8388671875,3852.167724609375,4954.0986328125
2.75,27141.84375,11960.8759765625,4888.1826171875,9060.072265625,12065.2236328125,6727.3037109375,3822.237548828125,5545.412109375,3796.09814453125,4887.20361328125
2.8,27643.833984375,12213.615234375,5013.39697265625,9266.2890625,12191.4404296875,6877.56201171875,3880.2041015625,5661.3564453125,3874.519287109375,4937.986328125
2.85,27688.271484375,12204.6328125,5021.4892578125,9377.859375,12194.736328125,6959.91943359375,3937.609375,5743.54150390625,3938.889404296875,4959.03125
2.9,27793.568359375,12256.4462890625,5030.4619140625,9313.201171875,12291.46484375,6905.59228515625,3879.001220703125,5704.0244140625,3895.77880859375,4946.37890625
2.95,27390.046875,12030.6904296875,4933.94775390625,9151.9365234375,12221.896484375,6788.88232421875,3835.57080078125,5619.7451171875,3830.336669921875,4929.1962890625
3.0,28133.626953125,12520.6533203125,5101.64111328125,9514.0908203125,12496.21875,7016.4794921875,3958.031494140625,5725.18505859375,3995.37646484375,5011.6123046875
3.05,28214.375,12352.5576171875,5090.48828125,9437.2626953125,12516.078125,7032.86083984375,3936.156982421875,5702.91015625,4022.71044921875,5051.99609375
3.1,28316.615234375,12439.3515625,5158.82421875,9547.9775390625,12626.595703125,7101.77490234375,3972.0263671875,5764.7822265625,4009.27587890625,5075.7587890625
3.15,28374.73046875,12555.29296875,5230.96875,9706.1142578125,12815.0107421875,7086.22119140625,4033.701904296875,5786.275390625,4040.23486328125,5086.3388671875
3.2,28056.900390625,12297.2451171875,5132.6171875,9514.9384765625,12787.763671875,7020.57568359375,3930.606201171875,5769.23291015625,3962.560302734375,5068.4423828125
3.25,27947.40625,12309.81640625,5097.9248046875,9483.1826171875,12801.34765625,7042.978515625,3968.19921875,5698.95166015625,3946.158935546875,5078.8251953125
3.3,27768.5,12322.0927734375,5075.41796875,9546.294921875,12622.6181640625,6986.3408203125,3957.894775390625,5726.62158203125,4008.98388671875,5049.76611328125
3.35,27444.12890625,12083.9013671875,4969.39794921875,9307.4365234375,12514.43359375,6864.5615234375,3877.484619140625,5596.99267578125,3912.50927734375,5017.41357421875
3.4,27561.978515625,12159.5068359375,4932.232421875,9304.05859375,12453.626953125,6912.38916015625,3920.018310546875,5641.533203125,3927.365234375,5010.25146484375
3.45,28068.166015625,12401.052734375,5091.31396484375,9514.9443359375,12725.59375,6994.77392578125,4014.40771484375,5760.82080078125,3979.587646484375,5088.61767578125
3.5,28136.880859375,12391.1689453125,5076.44580078125,9414.5263671875,12749.625,7041.55517578125,3998.061767578125,5740.03857421875,3989.293212890625,5045.88134765625
3.55,28290.888671875,12562.5810546875,5099.2822265625,9517.7265625,12712.3720703125,7090.5595703125,3972.95703125,5761.2734375,3975.601318359375,4996.9111328125
3.6,28114.955078125,12533.1552734375,5083.88427734375,9496.9716796875,12960.826171875,7082.5400390625,3985.356689453125,5734.38037109375,3924.766357421875,5096.07763671875
3.65,28326.021484375,12722.74609375,5185.27294921875,9575.078125,13145.033203125,7097.23095703125,4013.341552734375,5779.76220703125,3961.960205078125,5160.20263671875
3.7,28119.904296875,12690.3447265625,5180.89599609375,9448.986328125,12997.7021484375,7025.31884765625,3966.128662109375,5754.78857421875,3930.28076171875,5120.1611328125
3.75,28166.37109375,12654.7080078125,5229.26953125,9568.9521484375,12992.7685546875,7118.75927734375,4019.9287109375,5746.09423828125,4022.971435546875,5210.45751953125
3.8,27925.267578125,12611.888671875,5145.8369140625,9364.7470703125,12922.58203125,7034.8134765625,3979.250732421875,5668.26513671875,3957.695556640625,5085.55615234375
3.85,27696.744140625,12435.0380859375,5054.53466796875,9300.5341796875,12787.0361328125,6952.35595703125,3918.75927734375,5624.890625,3871.549072265625,5068.62744140625
3.9,27680.6171875,12442.603515625,5088.9697265625,9357.16796875,12827.9873046875,6932.283203125,3946.59423828125,5596.40283203125,3961.94775390625,5077.1064453125
3.95,27746.595703125,12412.6630859375,5096.31689453125,9288.6162109375,12735.1318359375,6904.60107421875,3920.246337890625,5634.23681640625,3929.405029296875,5075.31494140625
4.0,27837.728515625,12526.482421875,5116.50927734375,9369.87109375,12682.2177734375,7000.095703125,3941.97802734375,5680.142578125,3893.898193359375,5093.56396484375
4.05,27551.36328125,12318.5224609375,5081.982421875,9348.2158203125,12667.6904296875,6900.24560546875,3971.66357421875,5599.8642578125,3938.446044921875,5078.94384765625
4.1,27566.435546875,12399.2783203125,5045.07958984375,9360.1328125,12706.041015625,6911.72021484375,3902.51611328125,5650.92626953125,3920.971435546875,5041.91015625
4.15,28312.05078125,12834.0810546875,5214.72314453125,9599.9453125,13041.5830078125,7112.66357421875,4017.21240234375,5818.884765625,4014.50439453125,5216.52001953125
4.2,28111.5703125,12652.1005859375,5180.63525390625,9548.05859375,13142.87109375,7066.8984375,4041.189697265625,5800.40283203125,4050.07568359375,5107.43603515625
4.25,28091.021484375,12584.0810546875,5124.43994140625,9531.904296875,13098.8515625,7070.06298828125,3999.294189453125,5742.09619140625,4024.824951171875,5103.6435546875
4.3,28317.095703125,12718.2109375,5210.51416015625,9663.935546875,13127.6689453125,7148.38525390625,4062.601806640625,5778.90576171875,4013.884521484375,5167.7236328125
4.35,28031.513671875,12579.9560546875,5179.8017578125,9707.3857421875,12912.6298828125,7045.341796875,4003.053466796875,5747.1123046875,4068.597412109375,5160.21630859375
4.4,27721.947265625,12364.25390625,5096.38916015625,9566.9970703125,12796.6142578125,7026.03857421875,3987.575927734375,5691.9462890625,3994.583740234375,5120.767578125
4.45,27361.4453125,12320.2890625,5004.4560546875,9347.83984375,12711.267578125,6972.42138671875,3904.024658203125,5609.6669921875,3887.81982421875,5059.4951171875
4.5,27086.126953125,12052.7734375,4957.59130859375,9366.4521484375,12562.3017578125,6827.001953125,3896.931396484375,5520.12060546875,3882.606201171875,4955.41748046875
4.55,27119.169921875,12031.9296875,4971.84619140625,9294.171875,12474.240234375,6902.2587890625,3883.57080078125,5531.8271484375,3946.67333984375,4973.4912109375
4.6,26918.4296875,11978.8125,4881.33935546875,9167.7275390625,12416.353515625,6822.65576171875,3921.5205078125,5516.15087890625,3897.07080078125,4981.01513671875
4.65,26853.2109375,11969.15625,4872.35302734375,9236.474609375,12458.3056640625,6877.30126953125,3935.9609375,5548.56494140625,3825.816162109375,4972.02978515625
4.7,26664.857421875,11997.5068359375,4874.95947265625,9191.9619140625,12291.3876953125,6842.73388671875,3840.9287109375,5532.255859375,3791.982666015625,5009.3525390625
4.75,26703.765625,12007.546875,4887.79296875,9167.798828125,12338.5771484375,6826.86181640625,3808.630859375,5487.0556640625,3794.932861328125,4960.62890625
4.8,26788.328125,12147.689453125,4911.61328125,9215.970703125,12367.7392578125,6827.79443359375,3838.044677734375,5555.82568359375,3806.811279296875,4992.9599609375
4.85,27030.91796875,12178.9619140625,4946.22900390625,9263.7705078125,12554.5810546875,6906.533203125,3884.47900390625,5567.93115234375,3850.8720703125,5047.607421875
4.9,26646.8359375,12019.3388671875,4865.75244140625,9140.2978515625,12387.2978515625,6785.634765625,3800.2626953125,5407.26611328125,3788.442138671875,4869.90478515625
4.95,26601.775390625,12066.0478515625,4903.0126953125,9184.4423828125,12295.4453125,6801.5478515625,3832.85693359375,5393.32275390625,3786.085693359375,4865.13623046875
5.0,26822.95703125,12003.0703125,4952.0234375,9189.52734375,12400.5087890625,6864.5791015625,3832.2666015625,5502.62939453125,3866.192626953125,4942.77392578125
5.05,26741.91015625,11961.7109375,4847.3642578125,9124.4736328125,12396.9169921875,6780.30029296875,3843.621826171875,5529.85107421875,3817.948974609375,4951.1513671875
5.1,26599.53125,11907.1689453125,4911.4765625,9107.3994140625,12376.658203125,6771.4072265625,3825.07568359375,5448.6064453125,3895.834716796875,4879.9375
5.15,26740.787109375,11985.4365234375,4996.39208984375,9159.2978515625,12483.294921875,6822.166015625,3855.47509765625,5556.3310546875,3865.006103515625,4961.8935546875
5.2,27023.9453125,12053.15625,5007.24072265625,9298.404296875,12683.8212890625,6875.91748046875,3870.1884765625,5649.8828125,3812.551513671875,4971.70263671875
5.25,27419.33984375,12296.3291015625,5088.0107421875,9475.439453125,12792.4658203125,6978.87939453125,3921.955810546875,5709.34423828125,3955.26708984375,5069.65625
5.3,27196.564453125,12324.7802734375,5040.15185546875,9361.0673828125,12785.9423828125,6953.287109375,3911.061767578125,5749.21337890625,3903.496826171875,5051.65380859375
5.35,27238.943359375,12141.921875,5027.830078125,9427.9072265625,12690.59375,6963.8310546875,3898.809814453125,5728.09716796875,3897.46337890625,5072.291015625
5.4,27355.6328125,12192.0478515625,5065.294921875,9483.162109375,12707.8291015625,6984.44091796875,3938.2646484375,5731.6162109375,4023.921630859375,5048.2763671875
5.45,27000.30078125,12114.32421875,4952.7119140625,9289.56640625,12650.79296875,6874.009765625,3910.9091796875,5633.28759765625,3973.6162109375,5017.478515625
5.5,27007.9296875,11969.0234375,4900.705078125,9239.6171875,12541.70703125,6943.57666015625,3928.809814453125,5652.8017578125,3908.352783203125,5003.013671875
5.55,27009.583984375,12022.1787109375,5010.11083984375,9289.9873046875,12633.8896484375,6893.47900390625,3915.131591796875,5656.70751953125,3903.562744140625,4971.083984375
5.6,27019.53515625,12034.1640625,4964.923828125,9333.94140625,12488.6708984375,6920.5419921875,3930.01318359375,5632.79541015625,3888.597412109375,4995.16015625
